631
164;Philippines;5;1380
219;China;2;1350
336;Ireland;3;1380
287;Albania;1;1283
806;Japan;2;1251
611;China;2;969
639;Brazil;2;1083
694;Pakistan;4;1064
725;Brazil;4;684
157;Tunisia;3;1026
57;Nigeria;1;1405
78;Philippines;1;630
701;Poland;2;812
807;Philippines;3;1485
491;Poland;1;1498
680;Germany;1;1346
668;Tunisia;4;1073
435;Argentina;3;1341
420;Sweden;2;1088
383;Argentina;5;1117
711;China;1;773
987;China;1;1108
913;China;3;1333
390;Peru;5;1494
230;Brazil;3;1357
898;China;4;1387
281;China;4;796
822;Brazil;3;1230
893;France;3;593
779;Brazil;5;736
121;Senegal;1;1208
410;South Korea;4;1161
262;China;4;932
544;China;5;1111
632;Indonesia;1;967
389;Czech Republic;2;1366
759;Vietnam;1;1247
358;Latvia;3;1046
812;China;3;704
295;Philippines;5;1310
628;China;1;1087
237;Greece;3;648
989;France;3;1073
269;Zimbabwe;1;1264
358;Colombia;1;921
237;Sweden;4;782
529;Jamaica;1;1077
909;Sweden;3;961
452;Sweden;5;980
668;Portugal;5;1189
938;Macedonia;3;1432
860;Poland;3;1152
480;Japan;2;1421
175;Bulgaria;1;1193
733;Russia;5;1090
603;Indonesia;4;804
596;Sweden;3;1396
999;United States;2;1157
366;Philippines;5;680
591;China;3;598
261;Croatia;4;703
732;Bulgaria;3;649
831;Canada;5;806
455;China;3;1067
296;Malaysia;3;1124
294;Portugal;4;1065
937;Morocco;1;573
437;Malaysia;2;658
87;China;4;599
356;Luxembourg;5;562
849;China;4;1277
812;Colombia;2;644
784;Poland;1;1126
475;Philippines;4;1257
848;Venezuela;5;1380
572;Czech Republic;1;1013
11;Tunisia;1;1345
123;Brazil;1;842
410;China;3;652
233;Peru;2;717
422;Indonesia;2;1359
438;Azerbaijan;5;723
805;Philippines;4;1048
616;Peru;2;663
143;Canada;1;1160
853;Philippines;5;1048
541;France;5;1041
916;Poland;3;1251
373;Nigeria;3;1371
974;Mali;1;1457
214;China;3;866
112;South Korea;4;1317
823;Croatia;3;1354
973;Afghanistan;3;1231
505;Philippines;5;913
438;Malaysia;4;839
